step,resource,price,prev_price,inventory
0,WHEAT,25,,10000
0,CARROT,35,,10000
0,TOMATO,60,,10000
0,STRAWBERRY,120,,10000
0,MELON,250,,10000
0,EGG,50,,10000
0,MILK,160,,10000
0,WOOL,200,,10000
0,FERTILIZER,100,,10000
1,WHEAT,26,25,9999
1,CARROT,35,35,9999
1,TOMATO,60,60,9999
1,STRAWBERRY,128,120,9999
1,MELON,256,250,9999
1,EGG,50,50,9999
1,MILK,169,160,9999
1,WOOL,206,200,9999
1,FERTILIZER,100,100,10000
2,WHEAT,26,26,9999
2,CARROT,35,35,9999
2,TOMATO,60,60,9999
2,STRAWBERRY,128,128,9999
2,MELON,256,256,9999
2,EGG,50,50,9999
2,MILK,169,169,9999
2,WOOL,206,206,9999
2,FERTILIZER,100,100,10000
3,WHEAT,26,26,9999
3,CARROT,35,35,9999
3,TOMATO,60,60,9999
3,STRAWBERRY,128,128,9999
3,MELON,256,256,9999
3,EGG,50,50,9999
3,MILK,169,169,9999
3,WOOL,206,206,9999
3,FERTILIZER,100,100,10000
4,WHEAT,26,26,9999
4,CARROT,35,35,9999
4,TOMATO,60,60,9999
4,STRAWBERRY,128,128,9999
4,MELON,256,256,9999
4,EGG,50,50,9999
4,MILK,169,169,9999
4,WOOL,206,206,9999
4,FERTILIZER,100,100,10000
5,WHEAT,26,26,9999
5,CARROT,35,35,9999
5,TOMATO,60,60,9999
5,STRAWBERRY,128,128,9999
5,MELON,256,256,9999
5,EGG,50,50,9999
5,MILK,169,169,9999
5,WOOL,206,206,9999
5,FERTILIZER,100,100,10000
6,WHEAT,26,26,9999
6,CARROT,35,35,9999
6,TOMATO,60,60,9999
6,STRAWBERRY,128,128,9999
6,MELON,256,256,9999
6,EGG,50,50,9999
6,MILK,169,169,9999
6,WOOL,206,206,9999
6,FERTILIZER,100,100,10000
7,WHEAT,26,26,9999
7,CARROT,35,35,9999
7,TOMATO,60,60,9999
7,STRAWBERRY,128,128,9999
7,MELON,256,256,9999
7,EGG,50,50,9999
7,MILK,169,169,9999
7,WOOL,206,206,9999
7,FERTILIZER,100,100,10000
8,WHEAT,26,26,9999
8,CARROT,35,35,9999
8,TOMATO,60,60,9999
8,STRAWBERRY,128,128,9999
8,MELON,256,256,9999
8,EGG,50,50,9999
8,MILK,169,169,9999
8,WOOL,206,206,9999
8,FERTILIZER,100,100,10000
9,WHEAT,26,26,9999
9,CARROT,35,35,9999
9,TOMATO,60,60,9999
9,STRAWBERRY,128,128,9999
9,MELON,256,256,9999
9,EGG,50,50,9999
9,MILK,169,169,9999
9,WOOL,206,206,9999
9,FERTILIZER,100,100,10000
10,WHEAT,26,26,9999
10,CARROT,35,35,9999
10,TOMATO,60,60,9999
10,STRAWBERRY,128,128,9999
10,MELON,256,256,9999
10,EGG,50,50,9999
10,MILK,169,169,9999
10,WOOL,206,206,9999
10,FERTILIZER,100,100,10000
11,WHEAT,26,26,9999
11,CARROT,35,35,9999
11,TOMATO,60,60,9999
11,STRAWBERRY,128,128,9999
11,MELON,256,256,9999
11,EGG,50,50,9999
11,MILK,169,169,9999
11,WOOL,206,206,9999
11,FERTILIZER,100,100,10000
12,WHEAT,26,26,9999
12,CARROT,35,35,9999
12,TOMATO,60,60,9999
12,STRAWBERRY,128,128,9999
12,MELON,256,256,9999
12,EGG,50,50,9999
12,MILK,169,169,9999
12,WOOL,206,206,9999
12,FERTILIZER,100,100,10000
13,WHEAT,26,26,9999
13,CARROT,35,35,9999
13,TOMATO,60,60,9999
13,STRAWBERRY,128,128,9999
13,MELON,256,256,9999
13,EGG,50,50,9999
13,MILK,169,169,9999
13,WOOL,206,206,9999
13,FERTILIZER,100,100,10000
14,WHEAT,26,26,9999
14,CARROT,35,35,9999
14,TOMATO,60,60,9999
14,STRAWBERRY,128,128,9999
14,MELON,256,256,9999
14,EGG,50,50,9999
14,MILK,169,169,9999
14,WOOL,206,206,9999
14,FERTILIZER,100,100,10000
15,WHEAT,26,26,9999
15,CARROT,35,35,9999
15,TOMATO,60,60,9999
15,STRAWBERRY,128,128,9999
15,MELON,256,256,9999
15,EGG,50,50,9999
15,MILK,169,169,9999
15,WOOL,206,206,9999
15,FERTILIZER,100,100,10000
16,WHEAT,26,26,9999
16,CARROT,35,35,9999
16,TOMATO,60,60,9999
16,STRAWBERRY,128,128,9999
16,MELON,256,256,9999
16,EGG,50,50,9999
16,MILK,169,169,9999
16,WOOL,206,206,9999
16,FERTILIZER,100,100,10000
17,WHEAT,26,26,9999
17,CARROT,35,35,9999
17,TOMATO,60,60,9999
17,STRAWBERRY,128,128,9999
17,MELON,256,256,9999
17,EGG,50,50,9999
17,MILK,169,169,9999
17,WOOL,206,206,9999
17,FERTILIZER,100,100,10000
18,WHEAT,26,26,9999
18,CARROT,35,35,9999
